"","X","d","d_h","h","a","mean_diff","mean_h","mean_p","U95","L95","U90","L90","U80","L80","C95","C90","C80","d_hat"
"1",1,-3,-3,1,0.1,0.96091109486248,-3.67327790332449,-2.71978653620115,-1.28818243192414,-4.77321426738415,-1.49847619819787,-4.40875006078167,-1.75272457832334,-4.00722639836968,0.998,1,1,-2.83349225019427
"2",2,-3,-2,1,0.1,0.538978456751692,-2.51176653131703,-2.71978653620115,-1.21754905142064,-4.62685070781848,-1.42442009139996,-4.26930746623323,-1.6730402008828,-3.87755671930172,0.998,1,1,-2.73119622539267
"3",3,-3,-1,1,0.1,2.17321378979278,-0.54657274640837,-2.71978653620115,-1.03265521218404,-4.25233569959417,-1.23266459482191,-3.91753137773589,-1.47197356796634,-3.55026397341367,0.994,0.998,1,-2.47158673217466
"4",4,-3,0,1,0.1,2.79148770739464,0.0717011711934899,-2.71978653620115,-0.969611164044565,-4.13612821148617,-1.1675951744256,-3.80791221732368,-1.40476710109823,-3.44876735164458,0.994,0.998,1,-2.38897586387417
"5",5,-3,1,1,0.1,4.12618528156088,1.40639874535974,-2.71978653620115,-0.853894474860149,-3.92168464672556,-1.04970033072577,-3.60616010303364,-1.28203498335759,-3.2620121952755,0.986,0.994,0.998,-2.23773639303433
"6",6,-3,2,1,0.1,3.89103307253657,1.17124653633543,-2.71978653620115,-0.8947517206183,-4.01863720378329,-1.09286753601135,-3.6970103670873,-1.32872915749945,-3.34400283723873,0.988,0.994,0.998,-2.30055073536421
"7",7,-3,3,1,0.1,4.37103096395776,1.65124442775662,-2.71978653620115,-0.930598362441027,-4.11066399195551,-1.13061856448842,-3.78251924768397,-1.36992579489914,-3.42309435882528,0.99,0.998,0.998,-2.35908203423175
"8",8,-3,-3,2,0.1,0.569258036651685,-2.78717912332561,-2.71978653620115,-1.28896186020126,-4.59475427494784,-1.48954175230147,-4.24943430460039,-1.73208593855655,-3.86978249821279,1,1,1,-2.75851305440898
"9",9,-3,-2,2,0.1,0.852942965958113,-1.94318586832602,-2.71978653620115,-1.18022254925159,-4.35831212207343,-1.37590332198483,-4.02689000137367,-1.61093558763802,-3.66346284981343,0.998,1,1,-2.59749806549875
"10",10,-3,-1,2,0.1,2.32796371190304,-0.391822824298106,-2.71978653620115,-0.899866088980455,-3.8208564236561,-1.08531733381805,-3.52166810003691,-1.30687766781422,-3.19386773203843,0.994,0.998,1,-2.21812490560239
"11",11,-3,0,2,0.1,3.00824961991354,0.288463083712399,-2.71978653620115,-0.781080048723392,-3.62702531411204,-0.964127625083809,-3.33742946929707,-1.18196777866023,-3.02129781773478,0.986,0.998,0.998,-2.07209045999746
"12",12,-3,1,2,0.1,4.07543049384383,1.35564395764268,-2.71978653620115,-0.651842741716518,-3.43780086720183,-0.833922771504782,-3.15844433533932,-1.05072895765061,-2.85304513639265,0.966,0.99,0.998,-1.92445031286406
"13",13,-3,2,2,0.1,4.52087694916089,1.80109041295974,-2.71978653620115,-0.605286326755514,-3.35817957221777,-0.787155696249031,-3.08347527223451,-1.0028088049214,-2.78239982708235,0.958,0.984,0.998,-1.8664320409469
"14",14,-3,3,2,0.1,5.0169946982652,2.29720816206405,-2.71978653620115,-0.663326405908912,-3.5009427487972,-0.848419628373902,-3.21432184284418,-1.06857958332221,-2.90159748143869,0.966,0.988,0.998,-1.95720490545958
"15",15,-3,-3,3,0.1,0.698409156160486,-3.19769927892378,-2.71978653620115,-1.38686477026744,-4.6640350979693,-1.58500700690937,-4.32031613769926,-1.82458368619799,-3.94364155749221,1,1,1,-2.84071170213365
"16",16,-3,-2,3,0.1,0.606780593523816,-2.33441148989913,-2.71978653620115,-1.25942566053126,-4.4098550114759,-1.45176349078394,-4.07972991199951,-1.68423742516208,-3.71843727659957,1,1,1,-2.66148431939546
"17",17,-3,-1,3,0.1,2.06064998806892,-0.659136548132222,-2.71978653620115,-0.895118505960562,-3.70260156290121,-1.0735031828806,-3.41565600028757,-1.28715461913412,-3.10158010877616,0.996,0.998,1,-2.16450410445693
