"","X","d","d_h","h","a","mean_diff","mean_h","mean_p","U95","L95","U90","L90","U80","L80","C95","C90","C80","d_hat"
"1",1,-3,-3,1,0.1,0.436633409370081,-2.61067424430147,-2.40661574551936,-0.636221792816273,-4.86451085810038,-0.877141012506505,-4.41141786406728,-1.17140008393802,-3.91099181444951,0.916,0.966,0.99,-2.47265311061457
"2",2,-3,-2,1,0.1,0.810735515488689,-2.61067424430147,-1.92438708346364,-0.325210419586502,-4.14277967054785,-0.551454147445386,-3.73786050578972,-0.824557687329548,-3.29372535459037,0.728,0.824,0.914,-2.00269780538438
"3",3,-3,-1,1,0.1,0.752272716025691,-0.641158423794436,-1.14910098574165,0.316188614258622,-2.81882041427433,0.11286261252289,-2.49975424416245,-0.126753964558607,-2.14674977196513,0.304,0.414,0.568,-1.1021349479892
"4",4,-3,0,1,0.1,0.587742138111681,0.0496509638937835,-0.13199373557865,1.13911656534236,-1.49531703609891,0.946789021542856,-1.24705824335636,0.724703820213799,-0.972573617554424,0.024,0.056,0.116,-0.108055474316897
"5",5,-3,1,1,0.1,0.717337944550777,1.52471634493595,0.928649393736854,2.20963951800854,-0.247714679773536,2.00803856219495,-0.0403347593748481,1.78029411128542,0.193800089858288,0,0,0,0.988492428523987
"6",6,-3,2,1,0.1,1.09785423250118,2.92045560874479,1.89833923933353,3.36538890361139,0.696156872474574,3.12156705445668,0.897959770756068,2.85218259747336,1.13065665358259,0,0,0,1.97996703648392
"7",7,-3,3,1,0.1,0.599467286747204,2.70522743686692,2.817975549603,4.49961292137884,1.38689459543104,4.19572327636732,1.60021412119769,3.85941530270422,1.85082636916837,0,0,0,2.8294888136621
"8",8,-3,-3,2,0.1,0.710089693905469,-3.11586543050954,-2.40661574551936,-0.717116458315939,-4.90966447490992,-0.955194371590077,-4.45834659217481,-1.24503262582116,-3.96106169397783,0.95,0.98,0.998,-2.53457542277703
"9",9,-3,-2,2,0.1,1.19186967540721,-3.11586543050954,-1.92438708346364,-0.420207822039885,-4.20025749747388,-0.641763783427239,-3.79638799333476,-0.91021009287247,-3.35460932017228,0.784,0.866,0.946,-2.07557388297513
"10",10,-3,-1,2,0.1,0.726401582729828,-1.49565837058307,-1.14910098574165,0.195776181286371,-2.90062824606487,-0.00271951775571877,-2.5820000808844,-0.238430553689239,-2.23148046432399,0.372,0.478,0.644,-1.19966516266107
"11",11,-3,0,2,0.1,0.692015079971306,-0.562447819709942,-0.13199373557865,1.0166122439211,-1.53881089162334,0.832323132312062,-1.29725766169366,0.618065517775627,-1.02986853741438,0.03,0.068,0.134,-0.189458668367648
"12",12,-3,1,2,0.1,0.566583831707034,1.24589694018786,0.928649393736854,2.15019732207247,-0.198826927663383,1.9578344625984,-0.00099148320652264,1.73996597690796,0.222676926042976,0,0,0,0.983204255204323
"13",13,-3,2,2,0.1,1.09434532971908,2.91641464096132,1.89833923933353,3.37673898121154,0.793864641002278,3.14125811383818,0.989380499463759,2.88034632840875,1.21331275095808,0,0,0,2.03567330680115
"14",14,-3,3,2,0.1,0.601466469638368,3.00862154393426,2.817975549603,4.48907715551577,1.46393829355491,4.19207503426152,1.67022743208099,3.86580013436903,1.91285180583602,0,0,0,2.86423496367725
"15",15,-3,-3,3,0.1,1.13724088436836,-3.54385662988772,-2.40661574551936,-0.822348048320493,-4.97380645500268,-1.05698331343569,-4.52523484507218,-1.34297652082702,-4.03164228466876,0.976,0.992,1,-2.61945358675321
"16",16,-3,-2,3,0.1,0.712390144716818,-2.12733395130909,-1.92438708346364,-0.420033519589717,-3.98764782020252,-0.632542067658283,-3.60581824339859,-0.887102851623035,-3.18894598000652,0.804,0.884,0.958,-1.98662680736302
"17",17,-3,-1,3,0.1,0.661316680718872,-1.07885336605908,-1.14910098574165,0.19038806218777,-2.7216196215239,0.00124622731408758,-2.42220744851091,-0.223504599012179,-2.09605748233019,0.37,0.48,0.664,-1.12916250170587
"18",18,-3,0,3,0.1,0.575155616070296,-0.0969228817545173,-0.13199373557865,1.03214163466122,-1.37955669105474,0.85582526112751,-1.15521411612034,0.65201542710163,-0.905473756546672,0.02,0.044,0.096,-0.113269777322089
"19",19,-3,1,3,0.1,0.69807793672614,1.49378209097138,0.928649393736854,2.18070252765188,-0.0675122441924165,1.99710031935052,0.120507410955771,1.78686483824249,0.332522120889731,0,0,0,1.06038572806923
"20",20,-3,2,3,0.1,0.702054813625418,2.36298839140216,1.89833923933353,3.26831990781206,0.807636387202418,3.04526495224774,0.994585481621603,2.79769992458855,1.2083415571694,0,0,0,1.99312165386622
"21",21,-3,3,3,0.1,0.595555576499241,2.74350393765871,2.817975549603,4.33942475347789,1.47453659444781,4.06112843343677,1.67258060189315,3.75397948792238,1.90639186613999,0,0,0,2.807788519942
"22",22,-3,-3,4,0.1,1.33134803290658,-3.73796377842594,-2.40661574551936,-0.890957530689236,-5.01286964438107,-1.1221133557384,-4.56633756464706,-1.40581514047988,-4.07477464841546,0.98,0.998,1,-2.67256778140382
"23",23,-3,-2,4,0.1,0.754065524224054,-2.3875626765267,-1.92438708346364,-0.501563989528054,-4.03678378909986,-0.710738849658356,-3.65921660597302,-0.962212329557464,-3.24426969338496,0.844,0.93,0.98,-2.05174787279709
