"","X","d","d_h","h","a","mean_diff","mean_h","mean_p","U95","L95","U90","L90","U80","L80","C95","C90","C80","d_hat"
"1",1,-3,-3,1,0.1,0.33767951228186,-2.30207563998545,-2.00610207064601,-0.0285148590245447,-4.72244230461621,-0.304222695976029,-4.22932869451262,-0.636497826863007,-3.68346047011223,0.774,0.828,0.85,-2.08720418925287
"2",2,-3,-2,1,0.1,0.869605791857842,-0.997777820157779,-1.7107407814552,0.253148158970587,-4.0880810982714,-0.0103437666049446,-3.63378254845876,-0.324702705479757,-3.13255502984742,0.488,0.634,0.638,-1.66576491998766
"3",3,-3,-1,1,0.1,1.13355430470587,-0.145691255052942,-1.15396297347543,0.707531120044887,-3.17067913182919,0.455407672448657,-2.77362447072454,0.159002919464622,-2.3383550298945,0.164,0.35,0.35,-1.0437590910186
"4",4,-3,0,1,0.1,1.06819942774619,0.67338689749216,-0.240252588066083,1.46314647009863,-1.92543809281244,1.21524055159865,-1.60128705393357,0.931920201578534,-1.24274690994101,0.014,0.086,0.088,-0.132680488560655
"5",5,-3,1,1,0.1,1.10338410245942,-0.0903405930139406,0.862288797940845,2.36376064495205,-0.814665739930644,2.09824882032557,-0.540842175406245,1.80141359228449,-0.236234330938764,0.002,0.016,0.016,0.784642592992378
"6",6,-3,2,1,0.1,0.748746299182262,1.38810625212089,1.82329242797051,3.55228056175257,0.217019021947851,3.23790083595332,0.463935565387563,2.89115905459456,0.748157937859735,0,0,0,1.79990838149894
"7",7,-3,3,1,0.1,1.22413063514273,1.38847492623292,2.56837663533737,4.4465803872499,0.802499032020492,4.08465011590017,1.05021275105586,3.68445715859716,1.33858902230458,0,0,0,2.47604633802797
"8",8,-3,-3,2,0.1,0.799959632237167,-2.80606170288318,-2.00610207064601,-0.132969256024894,-4.76967861427358,-0.40246459463007,-4.27991792682683,-0.728799662856189,-3.73839360484831,0.824,0.828,0.922,-2.16053653010776
"9",9,-3,-2,2,0.1,0.65601100368278,-1.73457993110551,-1.7107407814552,0.138593463823811,-4.14995996787108,-0.11809281686266,-3.69956470288712,-0.426082311580541,-3.20041065015382,0.614,0.634,0.71,-1.75038805964086
"10",10,-3,-1,2,0.1,1.15477496041754,-0.114605924148349,-1.15396297347543,0.709642991300654,-2.96108613682543,0.468737877836005,-2.58524947373983,0.187050738521854,-2.1726515912872,0.082,0.338,0.35,-0.951218084664944
"11",11,-3,0,2,0.1,1.11086797081994,0.73614319968462,-0.240252588066083,1.47279282262952,-1.7301916280401,1.23606516310282,-1.42702882949212,0.965184179379953,-1.09092719255304,0,0.034,0.088,-0.0435544169549445
"12",12,-3,1,2,0.1,0.872693739561163,0.302756720216345,0.862288797940845,2.28878976624544,-0.742776584747466,2.035582353542,-0.483372285429529,1.75331744138661,-0.193274057360789,0,0.01,0.016,0.781195989235724
"13",13,-3,2,2,0.1,0.713034137700684,1.48168404202134,1.82329242797051,3.46078394101699,0.269025202861174,3.15854448344025,0.505879730633432,2.82782767357791,0.777498082069015,0,0,0,1.78344452244692
"14",14,-3,3,2,0.1,0.831339289170669,1.9266937669535,2.56837663533737,4.39729102027912,0.874543971155332,4.04490055206731,1.11360599182519,3.65899878802101,1.39197137822908,0,0,0,2.49083710335917
"15",15,-3,-3,3,0.1,1.08828621416812,-3.09438828481413,-2.00610207064601,-0.222375181876602,-4.81200531101205,-0.488012395820934,-4.32690486941707,-0.808830110165506,-3.78949811738176,0.828,0.83,0.968,-2.22526576440818
"16",16,-3,-2,3,0.1,0.561408460975574,-2.11865774694025,-1.7107407814552,0.0375644510941186,-4.20199220843187,-0.214372311079733,-3.75319162701961,-0.517962138624694,-3.25973266728438,0.634,0.634,0.828,-1.82517970267653
"17",17,-3,-1,3,0.1,0.998226265190857,-0.383557626470079,-1.15396297347543,0.645221227592354,-2.90797018132857,0.413022901590092,-2.5429084553127,0.141377240409818,-2.14304574107442,0.102,0.344,0.35,-0.961050704322273
"18",18,-3,0,3,0.1,0.849205008795738,0.227831460976067,-0.240252588066083,1.35274037311997,-1.74683043183159,1.12659308092161,-1.45118539497361,0.866027422005517,-1.12449551340131,0,0.046,0.088,-0.109350627478835
